Period,Week,15k,17.5k,20k,22.5k,25k,27.5k,30k,32.5k,35k,37.5k,40k,42.5k,45k,47.5k,50k,52.5k,55k,57.5k,60k
Prep,All,240,280,320,360,400,440,480,520,560,600,640,700,720,760,800,840,880,920,960
Base 1,1,280,330,380,430,480,520,570,620,670,710,760,810,850,900,950,1000,1040,1090,1140
Base 1,2,310,370,420,470,530,580,630,680,730,780,840,890,950,1000,1050,1100,1150,1210,1260
Base 1,3,350,400,460,520,580,630,690,750,810,860,920,980,1030,1090,1150,1210,1260,1320,1380
Base 1,4,240,280,320,360,400,440,480,520,560,600,640,700,720,760,800,840,880,920,960
Base 2,1,290,335,380,430,480,520,570,620,670,710,760,810,850,900,950,1000,1040,1090,1140
Base 2,2,330,385,440,500,550,600,660,720,770,820,880,940,990,1040,1100,1150,1210,1260,1320
Base 2,3,370,440,500,560,630,690,750,810,880,940,1000,1060,1120,1190,1250,1310,1370,1440,1500
Base 2,4,240,280,320,360,400,440,480,520,560,600,640,700,720,760,800,840,880,920,960
Base 3,1,330,385,440,500,550,600,660,720,780,820,880,940,990,1040,1100,1150,1210,1260,1320
Base 3,2,370,440,500,560,630,690,750,810,880,940,1000,1060,1120,1190,1250,1310,1370,1440,1370
Base 3,3,410,475,540,610,680,740,810,880,950,1010,1080,1150,1210,1280,1350,1420,1480,1550,1620
Base 3,4,240,280,320,360,400,440,480,520,560,600,640,700,720,760,800,840,880,920,960
Build 1,1,370,440,500,560,630,690,750,810,880,940,1000,1060,1120,1190,1250,1310,1370,1440,1370
Build 1,2,370,440,500,560,630,690,750,810,880,940,1000,1060,1120,1190,1250,1310,1370,1440,1370
Build 1,3,370,440,500,560,630,690,750,810,880,940,1000,1060,1120,1190,1250,1310,1370,1440,1370
Build 1,4,240,280,320,360,400,440,480,520,560,600,640,700,720,760,800,840,880,920,960
Build 2,1,410,475,540,610,680,740,810,880,950,1010,1080,1150,1210,1280,1350,1420,1480,1550,1620
Build 2,2,410,475,540,610,680,740,810,880,950,1010,1080,1150,1210,1280,1350,1420,1480,1550,1620
Build 2,3,410,475,540,610,680,740,810,880,950,1010,1080,1150,1210,1280,1350,1420,1480,1550,1620
Build 2,4,240,280,320,360,400,440,480,520,560,600,640,700,720,760,800,840,880,920,960
Peak,1,290,335,380,430,480,520,570,620,670,710,760,810,850,900,950,1000,1040,1090,1140
Peak,2,240,280,320,360,400,440,480,520,560,600,640,700,720,760,800,840,880,920,960
Race,All,240,280,320,360,400,440,480,520,560,600,640,700,720,760,800,840,880,920,960
